,roic_ttm,log_market_cap,pe_ratio,pb_ratio,ps_ratio,roe_ttm,roe_q,roa_ttm,roa_q,gross_profit_margin_ttm,gross_profit_margin_q,profit_margin_q,financial_leverage,debt_to_equity_ratio,cash_ratio,current_ratio,intangible_asset_ratio,total_asset_growth_rate,profit_margin_growth_rate,net_profit_growth_rate,asset_turnover_ttm,asset_turnover_q,operating_revenue_growth_rate,net_operate_cf_growth_rate,contrarian_1m,contrarian_3m,contrarian_6m,contrarian_12m,stock_turnover_1m,stock_turnover_3m,stock_turnover_6m,stock_turnover_12m,bias_stock_turnover_1m,bias_stock_turnover_3m,bias_stock_turnover_6m,bias_stock_turnover_12m,volatility_of_return_1m,volatility_of_return_3m,volatility_of_return_6m,volatility_of_return_12m,sharpe_ratio_20d,sharpe_ratio_60d,sharpe_ratio_120d,pchg,label
600804.XSHG,-0.05599523319048519,-0.1957352866092788,-0.05342779347349443,-0.11618117786954144,-0.005640776658204229,-0.06252175447881742,-0.06848781747645157,-0.06492660041123482,-0.07597457382756741,-0.10735144181426534,-0.10991204964533917,-0.08727696628816704,-0.08598019854410743,-0.041941089315792296,-0.03817797803905688,-0.10406328971615544,-0.05934672000932813,-0.02983958978863453,0.006779026819132336,-0.027945005241576077,-0.03423902686609192,-0.04384056731047734,-0.01728391618731362,0.008792373895430779,2.6322937480988177e-18,-0.19609518430172584,-0.1960951843017244,-0.19609518430172423,-0.11190473989805115,-0.12400815833327748,-0.12425426753601379,-0.12704616013797265,-0.016064359914377293,-0.01643608633728928,-0.04498195284810996,-0.06443706697014442,3.69502103770393e-18,-0.1960951843017258,-0.19609518430172393,-0.1960951843017246,0.005883238413277072,-0.036394419435632784,-0.054728331359928925,0.25806451612903203,1
600850.XSHG,1.2155659168240815,-2.923470726833888,0.39172997095520595,-2.739413376608032,-0.06533108144909262,-0.22670659512443914,-0.5095643012704103,-0.08994018155082155,-0.5095071313399048,-0.40338289212134654,-0.5082039934044866,-0.05666796584248105,-1.5013311047194586,0.29661429581202986,-0.04565370164847734,-0.9437345493895213,-0.9843736480745962,1.3393526887070835,1.8512315703036453,-1.3070304688792025,0.3426053138798052,-0.30365189997685466,0.7297830288979245,2.246656571060309,2.6322937480988177e-18,-2.874532626879707,-2.8745326268797076,-2.8745326268797067,-2.288477591725177,-2.785949497983476,-2.418460756365883,-2.469103477030097,-0.8801631687580244,-1.5757898963328074,-1.4644591709267234,-1.7550205003795505,3.69502103770393e-18,-2.8745326268797062,-2.874532626879707,-2.8745326268797062,0.6778531146261704,0.5970190683779051,0.8127996058562778,0.1925643469971401,1
600718.XSHG,-1.5881649651181695,-1.5224986307821242,-0.714094114539317,0.0975280079192601,0.6807971281357577,-1.7625273876726437,-0.9573230472264287,-1.5925528924676964,-0.6100297736409195,-1.522891671961785,-1.4742616841960108,-0.6526156639178536,-0.9706223310598948,1.9571931104111193,0.0337315716541411,-0.10670616341339509,-1.3433006162799492,-2.460505513867933,0.5175324012892801,-0.7953783831026169,-0.06527777622357919,-0.44792151437708,-1.3218185723565785,0.9872798901575439,2.6322937480988177e-18,-1.2959106583573947,-1.2959106583573952,-1.2959106583573963,0.32889480447676644,0.5792873635390129,0.5671905335340007,0.8574137414541403,-0.5982841109670134,-0.43284436563031187,-1.1476541271539784,0.12876913170856993,3.69502103770393e-18,-1.2959106583573958,-1.2959106583573954,-1.2959106583573954,-2.1384081275889817,-1.368281760070509,-1.7272528154883666,0.14754098360655732,1
002153.XSHE,1.6621922436718195,0.1189094094020224,0.26346968183076824,-1.0595613033147644,-1.1133136040900948,1.2025571461182856,0.19179293190116634,2.1071725522120963,1.138299900312323,1.53584661803488,1.2854984581339362,1.6269073977283979,-1.022374546303233,-1.1175462262989506,-0.668471752177279,0.22760003120051964,1.8907757961263185,-0.3709493863124905,0.6736683575032926,-0.3774627747868996,-0.7271584567149152,-0.9123986727375603,0.19720111138648025,1.2544438532173203,2.6322937480988177e-18,0.03992031020660797,0.0399203102066071,0.03992031020660676,-0.5175027811037499,-0.6981149091990159,-0.7980664242079698,-1.1143434929438636,2.133128852157746,2.5874490963658263,2.8792506042466384,0.5922169211384434,3.69502103770393e-18,0.03992031020660713,0.03992031020660726,0.03992031020660732,-1.521550819429551,-1.4905054145899623,-1.7827437284331966,0.14732724902216443,1
002253.XSHE,-0.22754307655549755,0.4765929775930051,0.2788583289458231,0.20011378529796406,-1.465691296736615,0.2979984407879237,-0.5598632025735274,0.4889395716178906,-0.6757151903532944,0.47403344134258046,-0.2709218705902924,0.4906577616880643,-0.7668710193515119,-0.1417142535350888,0.243918433520642,0.32065950751798955,1.709260530045556,-0.40939416272045775,-0.1953213044480302,0.22716000558826124,-2.2210923461768375,-1.844937628001679,0.40286373115799684,0.1098412999096197,2.6322937480988177e-18,0.5293143273952357,0.5293143273952348,0.5293143273952341,1.2453859531481348,1.1872224710259975,1.3793958477468555,1.810028535706363,-0.5500173209862467,-0.9118554284309893,-0.9850953457822318,-0.7218385499483524,3.69502103770393e-18,0.5293143273952353,0.529314327395235,0.5293143273952351,-0.5126617075251722,-1.0514055770267066,0.034480420203050116,0.13492741246797602,1
002065.XSHE,0.4302932695462535,-0.12757247162316093,0.06033983478932932,-0.5892897954188789,-0.2393245024699367,0.31251931734004534,0.6588583749808677,0.2902398485946613,0.9488127731078033,-0.9546898743067873,-0.8098055412114298,0.6148166557389392,-0.16344757088274475,-1.280414378047777,0.17367978061124212,-0.46975475585647053,1.260814960906454,0.8784267928065872,0.41974959161995373,-0.15919213646293598,0.32600947629494476,0.273787606096792,1.7864718120334797,0.3814726524593392,2.6322937480988177e-18,-0.2004333664265905,-0.20043336642659082,-0.20043336642659104,-0.8789129012187508,-0.90288160106453,-0.8145878680071087,-0.6605255683087687,-2.020810153736652,-2.3567173247946234,-1.7810715627385956,-0.6711232589824502,3.69502103770393e-18,-0.20043336642659085,-0.200433366426591,-0.20043336642659115,1.395780794715313,-0.1432179265913356,1.3083262284447255,0.12753623188405805,1
002113.XSHE,-0.2600303101512755,-0.20711407778016178,-0.48076035319524696,-0.10696549809288482,0.43350150952132604,-0.29589480513609956,-1.303831827807354,-0.24613088806015243,-0.9182648241645461,-0.7443814914077133,-0.5398164955250779,-0.9853669399893775,0.21750099626118008,0.4931837693780437,0.5660017506377406,-0.20782867102048144,-0.033515856307012905,0.3799398954539883,-2.2874997584298016,-1.1341511969544544,0.4825540891521938,0.21055468759006632,1.3598201598176982,1.29629803909464,2.6322937480988177e-18,-0.1522892374214753,-0.15228923742147424,-0.15228923742147382,0.5019997828922684,0.271619739035029,0.0858214441419159,0.35839177721046883,0.43450530608569643,-0.08714743632396126,-0.5910353654045952,0.18986905180997016,3.69502103770393e-18,-0.1522892374214751,-0.15228923742147468,-0.1522892374214744,-0.039052891724915266,0.1148846749991149,-0.23385043510946735,0.11851851851851847,1
002131.XSHE,-0.05599523319005991,-0.19573528660866998,-0.05342779347329674,-0.11618117786928238,-0.005640776657907647,-0.0625217544786089,-0.06848781747625311,-0.06492660041100333,-0.07597457382731729,-0.10735144181404681,-0.10991204964507405,-0.08727696628795789,-0.08598019854363138,-0.041941089315848355,-0.038177978039032424,-0.10406328971591713,-0.05934672000927233,-0.029839589788519544,0.006779026819159578,-0.027945005241412076,-0.03423902686543072,-0.04384056730996322,-0.017283916187312554,0.008792373895314084,2.6322937480988177e-18,-0.1960951843011185,-0.19609518430111955,-0.19609518430111825,-0.11190473989784827,-0.12400815833304016,-0.12425426753575193,-0.1270461601376669,-0.016064359914479975,-0.016436086337445987,-0.04498195284820569,-0.06443706697013873,3.69502103770393e-18,-0.19609518430111825,-0.19609518430111691,-0.19609518430111775,0.00588323841337392,-0.036394419435325065,-0.05472833135970492,0.11494252873563227,1
600571.XSHG,-1.8060354326301515,-1.569362203531213,-1.7920750357303128,-1.1745629714035117,-0.5645409527438223,-1.4203099042331304,-0.2600304461387785,-1.4625459972153216,-0.5008940602604145,-1.0021178225637946,-0.7823800408910949,-1.2718954607854351,-0.2549864066212269,0.9800968915693318,-1.2581070994120411,-1.0168784760548928,-0.14138548172749923,-0.6103338308232001,-0.752976974075183,2.1026966402823555,-1.2481915752860056,-1.2652757474103737,1.1488158156441692,-1.3409398688576184,2.6322937480988177e-18,-1.4840299018467595,-1.4840299018467606,-1.4840299018467604,0.18638611443927594,-0.7365015941728503,-1.141937576629109,-1.3231214353766911,2.2765672576851004,1.470480795079772,0.7500192182328701,0.30904133929781635,3.69502103770393e-18,-1.4840299018467595,-1.4840299018467598,-1.48402990184676,0.5287646245415114,0.16377156421272532,-0.43554270502380776,0.1013215859030836,1
600845.XSHG,0.7394314924323288,0.03418629967842396,0.3737047813816958,-0.7512872273836668,0.8389440787529246,0.9522452285117468,1.0222239980061913,0.0074967076419333,0.25698827911967076,-0.7971159910868698,-0.8861637945787811,-0.3479719362993237,1.5736067150216366,-0.35727322618226753,0.0695030844732617,-0.6521884714263916,-1.2667227080035253,0.27533596498110613,-0.1410662983333461,-0.5837568195128856,1.9107283544150366,1.5969076291982771,-0.6451111349454763,0.9143585334292155,2.6322937480988177e-18,-0.045119068212673724,-0.04511906821267431,-0.04511906821267507,-0.18623817362945616,-0.34652093644294885,-0.3915400340278759,-0.4194589091437197,0.874003859708982,0.8093561797261124,0.9164177089347992,1.516059131268919,3.69502103770393e-18,-0.045119068212674036,-0.045119068212673884,-0.04511906821267419,2.9019368963878738,-0.3713834694764738,-0.5705518870038265,0.09964830011723347,1
